id,county,latitude,longitude,wellDepth,LandSurfaceElevation,WaterElevation,Saturated Thickness,DepthFromLSD,Month,Day,Year
2326103,Lubbock,33.6066670,-101.8738890,106,3213,3165.63,108.13000000000011,47.36999999999989,2,1,2013
2326104,Lubbock,33.5908340,-101.8572230,141,3201,3167.92,106.82000000000016,33.07999999999993,1,21,2003
2326108,Lubbock,33.5880560,-101.8369450,142,3192,3148.95,98.84999999999991,43.05000000000018,1,16,2001
2326207,Lubbock,33.5847220,-101.8055560,118,3186,3125.47,63.86999999999989,60.5300000000002,12,15,2015
2326301,Lubbock,33.6086120,-101.7688890,130,3192,3098.46,25.659999999999854,93.53999999999996,2,2,2016
2326404,Lubbock,33.5791670,-101.8722220,111,3212,3178.93,98.92999999999984,33.070000000000164,12,19,2014
2326406,Lubbock,33.5475000,-101.8363890,206,3183,3145.47,90.66999999999962,37.5300000000002,12,17,2010
2326410,Lubbock,33.5527780,-101.8575010,103,3211,3158.75,80.94999999999982,52.25,2,11,1996
2326411,Lubbock,33.5713890,-101.8536120,140,3192,3164.48,94.2800000000002,27.519999999999982,3,5,2013
2326512,Lubbock,33.5716670,-101.8269440,151,3183,3143.2,90.09999999999991,39.80000000000018,2,11,2009
2326604,Lubbock,33.5419450,-101.7858340,112,3156,3107.71,42.210000000000036,48.289999999999964,12,14,2015
2326702,Lubbock,33.5402780,-101.8480560,163,3211,3146.69,84.19000000000005,64.30999999999995,2,10,2006
2326802,Lubbock,33.5225000,-101.8161120,130,3172,3112.21,94.61000000000013,59.789999999999964,12,17,2015
2327102,Lubbock,33.5866670,-101.7305550,162,3155,3064.66,40.75999999999976,90.34000000000015,12,15,2015
2327204,Lubbock,33.5861110,-101.6836110,168,3140,3040.27,92.4699999999998,99.73000000000002,1,12,1998
2327207,Lubbock,33.6238890,-101.6794440,253,3154,3014.3,72.5,139.69999999999982,12,15,2015
2327211,Lubbock,33.6005560,-101.6788890,210,3143,3007.73,84.5300000000002,135.26999999999998,12,15,2015
2327213,Lubbock,33.5880560,-101.6852780,205,3142,3009.78,61.98000000000002,132.2199999999998,12,15,2015
2327402,Lubbock,33.5438890,-101.7272220,115,3143,3058.14,59.539999999999964,84.86000000000013,12,14,2015
2327601,Lubbock,33.5708330,-101.6466670,160,3127,3027.75,33.05000000000018,99.25,12,15,2015
2327603,Lubbock,33.5463890,-101.6550010,118,3112,3020.15,75.15000000000009,91.84999999999991,12,15,2015
